Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
109,DJ Bravo,Chennai Super Kings,-50,-0.16699999999999998,0.04,"$1,000,000","$304,388"
110,A Zampa,Royal Challengers Bangalore,-51,-0.17300000000000001,0.006,"$45,000","$295,069"
111,MM Ali,Royal Challengers Bangalore,-53,-0.17600000000000002,0.009000000000000001,"$265,630","$290,409"
112,M Vijay,Chennai Super Kings,-54,-0.18,0.006999999999999999,"$312,500","$284,196"
113,TK Curran,Rajasthan Royals,-61,-0.205,0.043,"$142,900","$245,365"
114,SO Hetmyer,Delhi Capitals,-62,-0.20800000000000002,0.028999999999999998,"$1,107,100","$240,705"
115,PK Garg,Sunrisers Hyderabad,-62,-0.209,0.02,"$271,400","$239,152"
116,CJ Jordan,Kings XI Punjab,-64,-0.214,0.08,"$428,600","$231,386"
117,RA Tripathi,Kolkata Knight Riders,-66,-0.221,0.044000000000000004,"$85,700","$220,513"
118,RA Jadeja,Chennai Super Kings,-66,-0.222,0.094,"$1,093,750","$218,960"
119,R Ashwin,Delhi Capitals,-71,-0.23800000000000002,0.075,"$1,100,000","$194,108"
120,I Udana,Royal Challengers Bangalore,-74,-0.248,0.064,"$71,400","$178,575"
121,JDS Neesham,Kings XI Punjab,-74,-0.25,0.016,"$71,400","$175,469"
122,Abhishek Sharma,Sunrisers Hyderabad,-75,-0.252,0.035,"$85,940","$172,362"
123,HV Patel,Delhi Capitals,-75,-0.253,0.021,"$31,250","$170,809"
124,AJ Finch,Royal Challengers Bangalore,-78,-0.262,0.068,"$628,600","$156,830"
125,R Parag,Rajasthan Royals,-82,-0.27399999999999997,0.021,"$28,600","$138,191"
126,Washington Sundar,Royal Challengers Bangalore,-89,-0.299,0.099,"$500,000","$99,360"
127,AM Rahane,Delhi Capitals,-92,-0.308,0.013999999999999999,"$760,000","$85,381"
128,VR Aaron,Rajasthan Royals,-93,-0.311,0.006,"$342,900","$80,721"
129,PP Shaw,Delhi Capitals,-95,-0.319,0.043,"$187,500","$68,295"
130,RV Uthappa,Rajasthan Royals,-95,-0.32,0.044000000000000004,"$428,600","$66,742"
131,AR Patel,Delhi Capitals,-96,-0.322,0.067,"$714,300","$63,635"
132,Abdul Samad,Sunrisers Hyderabad,-99,-0.331,0.024,"$28,600","$49,656"
133,DW Steyn,Royal Challengers Bangalore,-102,-0.344,0.012,"$285,700","$29,464"
134,TU Deshpande,Delhi Capitals,-106,-0.35600000000000004,0.028999999999999998,"$28,600","$10,825"
135,Mujeeb Ur Rahman,Kings XI Punjab,-108,-0.361,0.004,"$625,000","$3,059"
